Sweeping 200 app_screens from dank-fresh-20260427.db (skip_existing=False, port=9225, out=/Users/mattpacione/declarative-build/audit/sprint-2-station-parity-20260427-205500/dank)
[36/200] screen= 36 DRIFT   t=  2.2s parity=0.8315789473684211 errs=16 kinds=layout_sizing_h_mismatch,layout_sizing_v_mismatch,layout_sizing_h_mismatch 
[37/200] screen= 37 DRIFT   t=  2.6s parity=0.8315789473684211 errs=16 kinds=layout_sizing_h_mismatch,layout_sizing_v_mismatch,layout_sizing_h_mismatch 
[38/200] screen= 38 DRIFT   t=  2.6s parity=0.8688524590163934 errs=16 kinds=layout_sizing_h_mismatch,layout_sizing_v_mismatch,layout_sizing_h_mismatch 
[39/200] screen= 39 DRIFT   t=  2.5s parity=0.8383838383838383 errs=16 kinds=layout_sizing_h_mismatch,layout_sizing_v_mismatch,layout_sizing_h_mismatch 
[40/200] screen= 40 DRIFT   t=  2.4s parity=0.8415841584158416 errs=16 kinds=layout_sizing_h_mismatch,layout_sizing_v_mismatch,layout_sizing_h_mismatch 
[41/200] screen= 41 DRIFT   t=  2.7s parity=0.8571428571428571 errs=16 kinds=layout_sizing_h_mismatch,layout_sizing_v_mismatch,layout_sizing_h_mismatch 
[42/200] screen= 42 DRIFT   t=  2.8s parity=0.8571428571428571 errs=16 kinds=layout_sizing_h_mismatch,layout_sizing_v_mismatch,layout_sizing_h_mismatch 
[43/200] screen= 43 DRIFT   t=  2.6s parity=0.8415841584158416 errs=16 kinds=layout_sizing_h_mismatch,layout_sizing_v_mismatch,layout_sizing_h_mismatch 
[44/200] screen= 44 DRIFT   t=  2.5s parity=0.8415841584158416 errs=16 kinds=layout_sizing_h_mismatch,layout_sizing_v_mismatch,layout_sizing_h_mismatch 
[45/200] screen= 45 DRIFT   t=  2.5s parity=0.84 errs=16 kinds=layout_sizing_h_mismatch,layout_sizing_v_mismatch,layout_sizing_h_mismatch 
[46/200] screen= 46 DRIFT   t=  2.5s parity=0.84 errs=16 kinds=layout_sizing_h_mismatch,layout_sizing_v_mismatch,layout_sizing_h_mismatch 
[47/200] screen= 47 DRIFT   t=  2.5s parity=0.8699186991869918 errs=16 kinds=layout_sizing_h_mismatch,layout_sizing_v_mismatch,layout_sizing_h_mismatch 
[48/200] screen= 48 DRIFT   t=  2.7s parity=0.8024691358024691 errs=16 kinds=layout_sizing_h_mismatch,layout_sizing_v_mismatch,layout_sizing_h_mismatch 
