2026-04-17T18:27:28+00:00 | 09-drawer-nav | compose | ok | elements=23
2026-04-17T18:27:28+00:00 | 09-drawer-nav | render | start | 
2026-04-17T18:27:28+00:00 | 09-drawer-nav | render | ok | errors=0 kinds=[]
2026-04-17T18:27:28+00:00 | 09-drawer-nav | walk | start | 
2026-04-17T18:27:28+00:00 | 09-drawer-nav | walk | ok | eids=23 root=5784:47347
2026-04-17T18:27:28+00:00 | 10-onboarding-carousel | compose | ok | elements=26
2026-04-17T18:27:28+00:00 | 10-onboarding-carousel | render | start | 
2026-04-17T18:27:28+00:00 | 10-onboarding-carousel | render | ok | errors=1 kinds=['render_thrown']
2026-04-17T18:27:28+00:00 | 10-onboarding-carousel | walk | start | 
2026-04-17T18:27:29+00:00 | 10-onboarding-carousel | walk | ok | eids=22 root=5784:47403
2026-04-17T18:27:29+00:00 | 11-vague | compose | ok | elements=32
2026-04-17T18:27:29+00:00 | 11-vague | render | start | 
2026-04-17T18:27:29+00:00 | 11-vague | render | ok | errors=0 kinds=[]
2026-04-17T18:27:29+00:00 | 11-vague | walk | start | 
2026-04-17T18:27:29+00:00 | 11-vague | walk | ok | eids=32 root=5784:47463
2026-04-17T18:27:29+00:00 | 12-round-trip-test | compose | ok | elements=32
2026-04-17T18:27:29+00:00 | 12-round-trip-test | render | start | 
2026-04-17T18:27:30+00:00 | 12-round-trip-test | render | ok | errors=0 kinds=[]
2026-04-17T18:27:30+00:00 | 12-round-trip-test | walk | start | 
2026-04-17T18:27:30+00:00 | 12-round-trip-test | walk | ok | eids=32 root=5784:47536
2026-04-17T18:27:30+00:00 | _ | done | ok | render_ok=12/12 elapsed=9.8s
