scope,rank,anchor_h,offset_h,anchor_v,offset_v,count,pct,cum_pct
ALL,97,trailing,0,center,1,69,0.18,94.30
ALL,98,stretch,2,center,0,69,0.18,94.48
ALL,99,center,negative-non-bucket,stretch,0,69,0.18,94.66
ALL,100,scale,10,scale,non-bucket,63,0.17,94.83
ALL,101,scale,non-bucket,scale,8,58,0.15,94.98
ALL,102,center,2,bottom,non-bucket,58,0.15,95.13
ALL,103,center,non-bucket,center,non-bucket,53,0.14,95.27
ALL,104,scale,6,scale,4,53,0.14,95.41
ALL,105,scale,12,scale,4,53,0.14,95.55
ALL,106,scale,24,scale,4,53,0.14,95.69
ALL,107,scale,24,scale,10,53,0.14,95.83
ALL,108,scale,24,scale,16,53,0.14,95.97
ALL,109,scale,non-bucket,scale,16,53,0.14,96.11
ALL,110,scale,non-bucket,scale,12,53,0.14,96.25
ALL,111,scale,8,scale,12,52,0.14,96.39
ALL,112,scale,16,scale,8,52,0.14,96.53
ALL,113,scale,16,scale,12,52,0.14,96.67
ALL,114,scale,16,scale,16,52,0.14,96.80
ALL,115,leading,0,center,0,51,0.13,96.94
ALL,116,center,-24,top,non-bucket,51,0.13,97.07
ALL,117,scale,4,scale,2,50,0.13,97.20
ALL,118,center,-1,center,-2,39,0.10,97.31
ALL,119,stretch,0,scale,24,39,0.10,97.41
ALL,120,scale,20,scale,8,36,0.10,97.51
ALL,121,scale,non-bucket,scale,20,36,0.10,97.60
ALL,122,scale,non-bucket,bottom,non-bucket,36,0.10,97.70
ALL,123,scale,14,scale,non-bucket,34,0.09,97.78
ALL,124,leading,negative-non-bucket,top,negative-non-bucket,29,0.08,97.86
ALL,125,stretch,negative-non-bucket,center,0,28,0.07,97.94
ALL,126,stretch,10,stretch,10,28,0.07,98.01
ALL,127,scale,2,stretch,0,27,0.07,98.08
ALL,128,scale,2,scale,12,27,0.07,98.15
ALL,129,center,0,stretch,non-bucket,26,0.07,98.22
ALL,130,center,-1,stretch,non-bucket,26,0.07,98.29
ALL,131,scale,non-bucket,scale,1,20,0.05,98.34
ALL,132,leading,16,stretch,non-bucket,20,0.05,98.39
ALL,133,stretch,non-bucket,top,non-bucket,18,0.05,98.44
