screen_id,node_id,figma_node_id,node_type,gt_x,gt_y,gt_w,gt_h,rec_x,rec_y,rec_w,rec_h,iou,al_reachable,local_iou,visible
134,6723,I5749:83677;5749:82240,ELLIPSE,12353.0,14641.5,3.0,3.0,0.0,0.0,3.0,3.0,0.000000,0,0.000000,1
134,6886,5749:83723,INSTANCE,12469.0,15046.5,10.0,10.0,11772.0,15340.0,10.0,10.0,0.000000,1,0.000000,1
134,6890,I5749:83725;5749:82170,VECTOR,12578.0,15036.0,18.0,18.0,0.0,0.0,18.0,18.0,0.000000,0,0.805014,1
134,6893,5749:83728,INSTANCE,12562.0,15041.5,20.0,20.0,11865.0,15340.0,20.0,20.0,0.000000,1,0.403509,1
134,6897,I5749:83730;5749:82170,VECTOR,12676.0,15036.0,18.0,18.0,0.0,0.0,18.0,18.0,0.000000,0,0.805014,1
134,6900,5749:83733,INSTANCE,12655.0,15036.5,30.0,30.0,11958.0,15340.0,30.0,30.0,0.000000,1,0.791045,1
134,6904,I5749:83735;5749:82170,VECTOR,12774.0,15036.0,18.0,18.0,0.0,0.0,18.0,18.0,0.000000,0,0.805014,1
134,6907,5749:83738,INSTANCE,12748.0,15031.5,40.0,40.0,12051.0,15340.0,40.0,40.0,0.000000,1,0.927711,1
134,6911,I5749:83740;5749:82170,VECTOR,12872.0,15036.0,18.0,18.0,0.0,0.0,18.0,18.0,0.000000,0,0.805014,1
134,6916,I5749:83744;5749:82170,VECTOR,12578.0,15169.0,18.0,18.0,0.0,0.0,18.0,18.0,0.000000,0,0.805014,1
134,6919,5749:83747,FRAME,12451.0,15183.0,340.0,22.0,11754.0,15384.0,340.0,22.0,0.000000,1,1.000000,1
134,7048,I5749:83763;5749:84290;5749:99534;5749:82454;5749:82432,GROUP,11925.0,14537.0,18.0,18.0,-154.0,0.0,18.0,18.0,0.000000,0,0.805014,1
